SURVEY: SDSS
PHOTOMETRY_VERSION: SDSS_allCandidates+BOSS
FILTERS: ugrizUGRIZ


SNID: 13689
IAUC: UNKNOWN
FAKE: 0
RA: 4.016017
DECL: 0.807471
PIXSIZE: 0.4
SNTYPE: 120
MWEBV: 0.0258
MWEBV_ERR: 0.0043
REDSHIFT_HELIO: 0.251768
REDSHIFT_HELIO_ERR: 1.2e-05
REDSHIFT_FINAL: 0.250289
REDSHIFT_FINAL_ERR: 1.2e-05
HOSTGAL_OBJID: 1237657191980728576
HOSTGAL_PHOTOZ: 0.1869
HOSTGAL_PHOTOZ_ERR: -9.0
HOSTGAL_SNSEP: 4.29
PEAKMJD: 54000.2
SEARCH_TYPE: 120


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS:  108
NVAR:  17
VARLIST: MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    ZEROPT    ZEROPT_ERR    RDNOISE    PHOTFLAG    MAG    MAGERR    PSF_SIG1    PSF_SIG2    PSF_RATIO    SKY_SIG    GAIN    TELESCOPE    
OBS: 54055.25    i    82N    114.18    36.951    27.908    0.002    12.992    0    22.33    0.33    1.332    3.321    0.041    7.03    4.64    SDSS    
OBS: 54055.25    z    82N    233.44    109.881    26.63    0.019    4.698    0    21.484    0.421    1.134    2.562    0.095    7.12    3.48    SDSS    
OBS: 54055.25    u    82N    -1.97    41.538    27.487    0.102    4.483    0    24.711    1.285    1.466    3.183    0.054    5.07    1.47    SDSS    
OBS: 54058.25    g    82N    1.83    15.24    28.401    0.008    4.253    0    25.004    0.831    1.452    3.295    0.066    4.28    4.05    SDSS    
OBS: 54058.25    r    82N    13.21    27.399    28.219    0.004    4.252    32    24.231    0.957    1.551    3.702    0.054    6.05    4.725    SDSS    
OBS: 54058.25    i    82N    73.3    46.593    27.9    0.005    12.992    0    22.777    0.59    1.473    3.631    0.053    7.69    4.64    SDSS    
OBS: 54058.25    z    82N    -48.98    127.582    26.586    0.018    4.698    0    23.18    0.811    1.342    3.48    0.047    8.29    3.48    SDSS    
OBS: 54058.25    u    82N    86.59    53.57    27.508    0.037    4.483    0    22.629    0.607    1.578    3.257    0.085    4.83    1.47    SDSS    
OBS: 54060.2734375    g    82N    19.18    17.397    28.377    0.004    4.253    0    24.108    0.674    1.518    3.2    0.09    4.24    4.05    SDSS    
OBS: 54060.2734375    r    82N    24.7    28.388    28.208    0.003    4.252    32    23.823    0.816    1.526    3.45    0.049    6.04    4.725    SDSS    
OBS: 54060.2734375    i    82N    123.32    39.279    27.894    0.003    12.992    0    22.25    0.327    1.304    3.366    0.036    7.66    4.64    SDSS    
OBS: 54060.2734375    z    82N    150.9    166.735    26.648    0.027    4.698    0    21.855    0.786    1.331    3.546    0.042    7.85    3.48    SDSS    
OBS: 54060.2734375    u    82N    -3.84    45.265    27.404    0.021    4.483    8    24.783    1.357    1.543    3.139    0.092    4.78    1.47    SDSS    
OBS: 54063.2382812    g    82N    19.23    15.307    28.406    0.004    4.253    8    24.106    0.6    1.189    2.446    0.137    4.19    4.05    SDSS    
OBS: 54063.2382812    r    82N    89.71    25.188    28.218    0.004    4.252    0    22.599    0.291    1.364    3.322    0.042    6.26    4.725    SDSS    
OBS: 54063.2382812    i    82N    93.76    43.533    27.892    0.004    12.992    0    22.532    0.457    1.172    2.881    0.055    8.77    4.64    SDSS    
OBS: 54063.2382812    z    82N    107.33    131.772    26.638    0.025    4.698    0    22.096    0.727    1.026    2.561    0.072    9.75    3.48    SDSS    
OBS: 54063.2382812    u    82N    4.55    41.329    27.496    0.034    4.483    32    24.459    1.271    1.393    2.956    0.069    4.81    1.47    SDSS    
END_PHOTOMETRY:
